Consumer_ID,City,State,Country,Latitude,Longitude,Smoker,Drink_Level,Transportation_Method,Marital_Status,Children,Age,Occupation,Budget,AgeGroup
U1001,San Luis Potosi,San Luis Potosi,Mexico,22.139997,-100.978803,No,Abstemious,On Foot,Single,Independent,23,Student,Medium,Young Adults
U1002,San Luis Potosi,San Luis Potosi,Mexico,22.150087,-100.983325,No,Abstemious,Public,Single,Independent,22,Student,Low,Young Adults
U1003,San Luis Potosi,San Luis Potosi,Mexico,22.119847,-100.946527,No,Social Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1005,San Luis Potosi,San Luis Potosi,Mexico,22.183477,-100.959891,No,Abstemious,Public,Single,Independent,20,Student,Medium,Young Adults
U1006,San Luis Potosi,San Luis Potosi,Mexico,22.15,-100.983,Yes,Social Drinker,Car,Single,Independent,23,Student,Medium,Young Adults
U1007,San Luis Potosi,San Luis Potosi,Mexico,22.118464,-100.938256,No,Casual Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1008,San Luis Potosi,San Luis Potosi,Mexico,22.122989,-100.923811,No,Social Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1015,San Luis Potosi,San Luis Potosi,Mexico,22.12676,-100.905209,Yes,Social Drinker,Public,Single,Independent,23,Student,Medium,Young Adults
U1016,San Luis Potosi,San Luis Potosi,Mexico,22.156247,-100.977402,No,Casual Drinker,On Foot,Single,Independent,21,Student,Medium,Young Adults
U1018,San Luis Potosi,San Luis Potosi,Mexico,22.190949,-100.917902,Yes,Casual Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1019,San Luis Potosi,San Luis Potosi,Mexico,22.153385,-100.975294,No,Casual Drinker,Public,Single,Independent,23,Student,Medium,Young Adults
U1022,San Luis Potosi,San Luis Potosi,Mexico,22.146708,-100.964355,No,Casual Drinker,Car,Single,Independent,22,Student,Medium,Young Adults
U1027,San Luis Potosi,San Luis Potosi,Mexico,22.16515,-100.987015,Yes,Social Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1029,San Luis Potosi,San Luis Potosi,Mexico,22.151796,-100.989075,Yes,Casual Drinker,Public,Single,Independent,22,Student,Low,Young Adults
U1032,San Luis Potosi,San Luis Potosi,Mexico,22.169184,-100.986843,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1034,San Luis Potosi,San Luis Potosi,Mexico,22.137178,-101.013169,No,Casual Drinker,Public,Single,Independent,22,Student,Medium,Young Adults
U1036,San Luis Potosi,San Luis Potosi,Mexico,22.160572,-100.989418,No,Social Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1037,San Luis Potosi,San Luis Potosi,Mexico,22.15031,-100.900536,No,Social Drinker,Public,Single,Independent,22,Student,Low,Young Adults
U1038,San Luis Potosi,San Luis Potosi,Mexico,22.125786,-100.943705,Yes,Social Drinker,Public,Single,Independent,82,Student,Low,Seniors
U1045,San Luis Potosi,San Luis Potosi,Mexico,22.156724,-100.984268,No,Casual Drinker,Car,Single,Independent,21,Student,High,Young Adults
U1046,San Luis Potosi,San Luis Potosi,Mexico,22.144415,-100.933097,No,Social Drinker,Car,Single,Independent,22,Student,Medium,Young Adults
U1047,San Luis Potosi,San Luis Potosi,Mexico,22.142429,-100.949147,No,Abstemious,Public,Single,Independent,20,Student,Medium,Young Adults
U1048,San Luis Potosi,San Luis Potosi,Mexico,22.142208,-101.022785,Yes,Casual Drinker,Public,Single,Independent,24,Student,Medium,Young Adults
U1052,San Luis Potosi,San Luis Potosi,Mexico,22.138055,-100.936005,Yes,Social Drinker,On Foot,Single,Independent,22,Student,Low,Young Adults
U1053,San Luis Potosi,San Luis Potosi,Mexico,22.175833,-100.986671,No,Casual Drinker,Public,Single,Independent,22,Student,Low,Young Adults
U1054,San Luis Potosi,San Luis Potosi,Mexico,22.150683,-100.975342,No,Social Drinker,Public,Single,Independent,20,Student,Medium,Young Adults
U1056,San Luis Potosi,San Luis Potosi,Mexico,22.168997,-100.974376,No,Social Drinker,On Foot,Single,Independent,82,Student,Medium,Seniors
U1057,San Luis Potosi,San Luis Potosi,Mexico,22.196624,-100.91217,Yes,Casual Drinker,Public,Single,Independent,23,Student,Medium,Young Adults
U1058,San Luis Potosi,San Luis Potosi,Mexico,22.205802,-100.986081,No,Abstemious,Public,Single,Independent,21,Student,Low,Young Adults
U1062,San Luis Potosi,San Luis Potosi,Mexico,22.195826,-101.006317,No,Casual Drinker,Car,Single,Independent,27,Student,Medium,Young Adults
U1064,San Luis Potosi,San Luis Potosi,Mexico,22.139511,-100.957002,No,Casual Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1071,San Luis Potosi,San Luis Potosi,Mexico,22.154339,-100.975342,No,Abstemious,Car,Single,Independent,82,Student,High,Seniors
U1075,San Luis Potosi,San Luis Potosi,Mexico,22.167575,-100.960364,No,Casual Drinker,Car,Single,Independent,21,Student,Medium,Young Adults
U1081,San Luis Potosi,San Luis Potosi,Mexico,22.207749,-100.942383,No,Casual Drinker,Public,Single,Independent,21,Student,Low,Young Adults
U1084,San Luis Potosi,San Luis Potosi,Mexico,22.172524,-101.005758,Yes,Casual Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1086,San Luis Potosi,San Luis Potosi,Mexico,22.157281,-100.98444,No,Social Drinker,Car,Single,Independent,21,Student,Medium,Young Adults
U1088,San Luis Potosi,San Luis Potosi,Mexico,22.142748,-100.940664,No,Social Drinker,On Foot,Single,Independent,21,Student,Medium,Young Adults
U1089,San Luis Potosi,San Luis Potosi,Mexico,22.162562,-100.99313,Yes,Casual Drinker,Public,Single,Independent,22,Student,Low,Young Adults
U1090,San Luis Potosi,San Luis Potosi,Mexico,22.158473,-100.984268,No,Social Drinker,Car,Single,Independent,24,Student,Medium,Young Adults
U1091,San Luis Potosi,San Luis Potosi,Mexico,22.154677,-100.949013,No,Casual Drinker,Car,Single,Independent,23,Student,Low,Young Adults
U1095,San Luis Potosi,San Luis Potosi,Mexico,22.179865,-101.018547,No,Abstemious,Public,Married,Independent,26,Student,Medium,Young Adults
U1096,San Luis Potosi,San Luis Potosi,Mexico,22.1455,-100.939593,No,Abstemious,Public,Single,Independent,22,Student,Medium,Young Adults
U1097,San Luis Potosi,San Luis Potosi,Mexico,22.145471,-100.939588,No,Abstemious,Public,Single,Independent,22,Student,Medium,Young Adults
U1098,San Luis Potosi,San Luis Potosi,Mexico,22.182571,-100.963232,No,Social Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1099,San Luis Potosi,San Luis Potosi,Mexico,22.184862,-100.970535,Yes,Social Drinker,Public,Single,Independent,23,Student,High,Young Adults
U1101,San Luis Potosi,San Luis Potosi,Mexico,22.150891,-100.974891,No,Casual Drinker,Car,Single,Independent,24,Student,Low,Young Adults
U1102,San Luis Potosi,San Luis Potosi,Mexico,22.137131,-100.941151,No,Social Drinker,On Foot,Single,Independent,23,Student,Low,Young Adults
U1104,San Luis Potosi,San Luis Potosi,Mexico,22.149005,-100.978153,Yes,Social Drinker,Car,Single,Independent,21,Student,Medium,Young Adults
U1105,San Luis Potosi,San Luis Potosi,Mexico,22.120019,-100.950991,No,Social Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1108,San Luis Potosi,San Luis Potosi,Mexico,22.143524,-100.987562,No,Abstemious,Public,Single,Independent,29,Student,Medium,Young Adults
U1109,San Luis Potosi,San Luis Potosi,Mexico,22.303308,-101.05468,No,Abstemious,Public,Single,Independent,23,Student,Low,Young Adults
